2025-08-20 08:37:24,893 serial_wrap.py, line 83, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-08-20 08:37:27,380 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,381 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,381 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,382 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,382 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,383 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,383 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,384 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,384 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,385 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,385 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,386 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,386 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,387 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,388 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,388 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,389 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,389 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,390 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,390 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,391 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,391 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,392 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,392 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,392 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,393 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,393 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,394 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,394 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,395 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,395 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,396 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,396 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,397 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,397 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,398 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,398 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,399 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,399 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,399 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,400 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,400 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,401 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,401 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,402 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,402 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,403 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,403 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,404 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,404 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,405 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,405 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,406 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,406 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,407 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,407 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,408 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,408 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,408 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,409 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,409 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,410 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,410 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,411 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,411 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,412 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,412 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,413 camera.py, line 82, ERROR:read:读取图像错误!!!!
